consumer,origin,input,input_group,product,input_category,cropland_km2,blue_water_km3,ghg_Gt,biodiv,n_application_Tg,p_application_Tg
EU-27,AFR,Sugar (Raw Equivalent),"Sugar, sweeteners",Textiles (17),other crops,0,0,7.62857889329253e-08,0,0,0
EU-27,AFR,Cottonseed Oil,Vegetable oils,Textiles (17),other crops,0,0,1.41340772664188e-09,0,0,0
EU-27,AFR,Palmkernel Oil,Vegetable oils,Textiles (17),other crops,0,0,4.87817904869995e-06,0,0,0
EU-27,AFR,Palm Oil,Vegetable oils,Textiles (17),other crops,0,0,1.79990052370104e-07,0,0,0
EU-27,AFR,Cottonseed Cake,Oil cakes,Textiles (17),other crops,0,0,1.74325535517756e-10,0,0,0
EU-27,AFR,Palmkernel Cake,Oil cakes,Textiles (17),other crops,0,0,3.23241737691201e-08,0,0,0
EU-27,AFR,Bovine Meat,Meat,Textiles (17),animal-based,0,8.84395401605662e-21,0,0,0,0
EU-27,AFR,Mutton & Goat Meat,Meat,Textiles (17),animal-based,0,2.57490613520727e-22,0,0,0,0
EU-27,LAM,Seed cotton,Oil crops,Textiles (17),other crops,0.00084044958358409,0.065054168234115,0.001509029037813,0.00141527215455977,0.00641325508082761,0.00369781707136193
EU-27,LAM,Grazing,Grazing,Textiles (17),other crops,0,0,6.73988720618269e-07,0.000260185213390885,2.41112336720782e-05,8.79111515461963e-06
EU-27,LAM,Cottonseed,Fibre crops,Textiles (17),fibre crops,0,0,8.47065291767149e-06,0,0,0
EU-27,LAM,Cotton lint,Fibre crops,Textiles (17),fibre crops,0,0,0.000172375974453805,0,0,0
EU-27,LAM,Cattle,Live animals,Textiles (17),animal-based,0,0.000215310671576558,1.53083447206264e-05,0,0,0
EU-27,LAM,Goats,Live animals,Textiles (17),animal-based,0,1.26368359367886e-06,1.70077711736149e-07,0,0,0
EU-27,LAM,Eggs,Eggs,Textiles (17),animal-based,0,0,0,0,0,0
EU-27,LAM,Hides and skins,"Hides, skins, wool",Textiles (17),animal-based,0,0,0,0,0,0
EU-27,LAM,"Fish, Seafood",Fish,Textiles (17),animal-based,0,0,7.65647681638707e-08,0,0,0
EU-27,LAM,Rice and products,Cereals,Textiles (17),other crops,4.59829651793926e-06,0.00138307935008584,1.57772532706534e-05,2.18388948458979e-05,2.66137662513732e-05,4.4889702781805e-06
EU-27,LAM,Wheat and products,Cereals,Textiles (17),other crops,5.10004357252177e-06,0.000159003449785022,2.15670141178501e-06,4.61223216451324e-06,2.06112061896927e-05,3.81823157462285e-06
EU-27,LAM,Barley and products,Cereals,Textiles (17),other crops,2.47160831387731e-06,0.000310516471125795,5.42004626175583e-06,6.37305337788951e-06,1.06274340270826e-05,1.38872067850718e-06
EU-27,LAM,Maize and products,Cereals,Textiles (17),other crops,2.72901987718707e-05,0.000161694221516023,3.61791834728118e-05,0.000128366028238902,0.00012143380619621,3.30529280187497e-05
EU-27,LAM,Rye and products,Cereals,Textiles (17),other crops,2.5448699372884e-08,2.22471260927571e-07,9.93639544435478e-09,8.92894233235272e-09,4.8159247646888e-08,1.50674298501397e-08
EU-27,LAM,Oats,Cereals,Textiles (17),other crops,9.38166432328661e-08,9.23597238205308e-06,7.9022979222455e-08,5.23807450565621e-08,4.76020226709928e-07,1.56532428367869e-07
EU-27,LAM,Millet and products,Cereals,Textiles (17),other crops,7.04277051880843e-10,1.88619397553428e-08,1.68523208915436e-10,2.46504741040331e-10,1.91820463077069e-09,5.50296230949718e-10
EU-27,LAM,Sorghum and products,Cereals,Textiles (17),other crops,6.63890877071861e-07,2.52780624312356e-06,6.22404619068167e-07,3.79786303243474e-06,6.79855559542674e-07,1.46117897151812e-07
